% Module: Plotter, ID: c0p1t10p1cfm0
% Devices: DEV4934
% Time: 2023/12/11 18:09:44
% Demod 1 Sample Frequency,  /dev4934/demods/0/sample.Frequency
% Time (s), Osc Frequency (Hz)
% Demod 1 Sample Y,  /dev4934/demods/0/sample.Y
% Time (s), Amplitude (V)
-2626.50811733, -3.22248841452e-05
-2625.28477867, -9.56407235309e-06
-2624.06144, 2.23134013239e-05
-2622.83810133, 1.2718978051e-05
-2621.61476267, -1.83591997915e-05
-2620.391424, -1.68929961298e-05
-2619.16808533, 3.1715650554e-06
-2617.94474667, 2.76169865847e-05
-2616.721408, 3.49894246315e-05
-2615.49806933, 2.62493582719e-05
-2614.27473067, 2.68924575637e-05
-2613.051392, 2.64110413654e-05
-2611.82805333, 2.31805263146e-05
-2610.60471467, 1.95622410265e-05
-2609.381376, 2.75393252405e-06
-2608.15803733, -1.64302109259e-05
-2606.93469867, -1.77022511828e-06
-2605.71136, -2.76441581882e-07
-2604.48802133, -8.32693367454e-06
-2603.26468267, -1.12717285738e-05
-2602.041344, -1.06031764355e-05
-2600.81800533, 3.93689697632e-06
-2599.59466667, 2.66079244121e-05
-2598.371328, 2.91622879255e-05
-2597.14798933, 2.19151980133e-05
-2595.92465067, 1.07504187802e-05
-2594.701312, 4.91994677587e-06
-2593.47797333, 8.42812290472e-06
-2592.25463467, 2.97262410893e-06
-2591.031296, -9.33032908956e-06
-2589.80795733, -3.49870624485e-05
-2588.58461867, -4.19654236194e-05
-2587.36128, -3.76521395517e-05
-2586.13794133, -2.80918875775e-05
-2584.91460267, -2.40065937529e-05
-2583.691264, 5.43486425899e-07
-2582.46792533, -1.39825350105e-05
-2581.24458667, -7.89989731523e-06
-2580.021248, -3.07704051355e-06
-2578.79790933, 1.67418093295e-05
-2577.57457067, 2.00326640342e-05
-2576.351232, 2.41934709045e-05
-2575.12789333, 1.66027406815e-05
-2573.90455467, 5.42170681713e-06
-2572.681216, 8.56332095227e-06
-2571.45787733, 1.06073690444e-05
-2570.23453867, 8.25533199731e-06
