#Procedure: <__main__.MCT_calib>
#Parameters:
#	Zero pressure paro sci period: 2.49138e-05 s
#	AH2500A address: GPIB1::3::INSTR
#	AH2500 avg. exponent: 7
#	Comments/Notes: 
#	HP counter address: GPIB0::9::INSTR
#	counter gate time: 4 s
#Data:
UTC,timestamp,C,Loss,Vex,Period,P_paro
3827754430.0725875,2082852219.5138757,31.9312,0.04106,0.25,2.601403279244e-05,27.407276327961192
3827754435.2835674,2082852224.7248557,31.93124,0.04193,0.25,2.601403336661e-05,27.407289733349547
3827754440.434491,2082852229.8757794,31.93129,0.04247,0.25,2.601403331766e-05,27.407288590493366
3827754445.6264544,2082852235.0677426,31.93147,0.04284,0.25,2.601403522792e-05,27.40733319013024
3827754450.829397,2082852240.2706854,31.93162,0.04252,0.25,2.601403586233e-05,27.407348001963037
3827754456.0283546,2082852245.4696429,31.93171,0.0424,0.25,2.60140361253e-05,27.407354141631995
3827754461.2723074,2082852250.7135956,31.93183,0.04161,0.25,2.601403768662e-05,27.407390594410277
3827754466.4392934,2082852255.8805816,31.93185,0.04105,0.25,2.601403957088e-05,27.40743458699241
3827754471.64421,2082852261.085498,31.93184,0.04053,0.25,2.601404015258e-05,27.407448168176174
3827754476.816205,2082852266.2574933,31.93173,0.04063,0.25,2.601403991118e-05,27.407442532113397
3827754481.990119,2082852271.4314072,31.93166,0.0411,0.25,2.601404008313e-05,27.40744654669909
3827754487.1520805,2082852276.5933688,31.9316,0.04127,0.25,2.601404081451e-05,27.40746362252091
3827754492.307023,2082852281.7483113,31.93172,0.04217,0.25,2.601404105444e-05,27.40746922426239
3827754497.5059834,2082852286.9472716,31.93177,0.04262,0.25,2.601403968184e-05,27.40743717762017
3827754502.6699305,2082852292.1112187,31.93175,0.04235,0.25,2.601403695384e-05,27.407373485896
3827754507.869487,2082852297.310775,31.93158,0.04089,0.25,2.601403340142e-05,27.407290546073146
3827754513.062477,2082852302.5037653,31.93131,0.041,0.25,2.601402888069e-05,27.407184998666413
3827754518.225395,2082852307.6666834,31.93107,0.0414,0.25,2.60140240124e-05,27.407071336567093
3827754523.425349,2082852312.8666375,31.93078,0.04186,0.25,2.601401748212e-05,27.40691887115932
3827754528.612303,2082852318.053591,31.93051,0.04243,0.25,2.601401084346e-05,27.406763875237132
3827754533.808255,2082852323.2495434,31.93038,0.04249,0.25,2.601400689123e-05,27.406671600605446
3827754539.0252104,2082852328.4664986,31.93028,0.04084,0.25,2.601400429206e-05,27.406610916499336
3827754544.204754,2082852333.646042,31.93006,0.041,0.25,2.601400116788e-05,27.40653797470145
