#Procedure: <__main__.ds345_sr830_fsweep>
#Parameters:
#	Buffer measure time (s): 3
#	Delay (s): 1
#	Drive Amplitude (Vpp): 5
#	DS345 addr: 2::16
#	stop frequency (Hz): 1400
#	start frequency (Hz): 500
#	Frequency Step (Hz): 0.01
#	SR830 addr.: 2::25
#Data:
UTC,timestamp,f,X_sr,sigma_xsr,Y_sr,sigma_ysr
1702318784.1135173,84662.66536259651,658.08,0.001989721614409258,0.00014720254308677033,0.009098073377966243,0.00014582102630471408
1702318789.469904,84668.02174925804,658.09,0.0020249863385835005,0.0001541082001219997,0.009162381949673695,0.00014309426336947867
1702318794.8316004,84673.38344573975,658.1,0.0020021652792864305,0.0001584579112435047,0.009113821753843582,0.00015472699151375724
1702318800.1873002,84678.73914551735,658.11,0.002030969303559492,0.00018659810018847048,0.009124551864868817,0.00018030623318545
1702318805.5451393,84684.09698462486,658.12,0.0019863761045078544,0.0001815381987999974,0.009128835749498663,0.00017785775504496358
1702318810.9008396,84689.4526848793,658.13,0.002003374827434739,0.00017332792531593358,0.00915417039250753,0.00017909196442509844
1702318816.2545974,84694.80644273758,658.14,0.0019970425321075972,0.00016464906542367288,0.009128555236571285,0.00016304902714899563
1702318821.6102974,84700.1621427536,658.15,0.0020033339739164995,0.00014947576009059093,0.009127533898615295,0.00015026115056942675
1702318826.9725497,84705.52439498901,658.16,0.001978093927556818,0.00016267176309113155,0.009121287952769886,0.0001619586423728191
1702318832.3282504,84710.88009572029,658.17,0.0020081138355505356,0.00017474626222684114,0.009128391822498326,0.00017548569674064642
1702318837.6837435,84716.23558878899,658.18,0.002014446514221682,0.00019580015174970337,0.00913739651841069,0.0001844268430429426
1702318843.037065,84721.58891034126,658.19,0.0020041510442812918,0.00018156921394719662,0.009122386355317102,0.00018312418092928748
1702318848.391096,84726.94294142723,658.2,0.002026318228818516,0.00018058331112876362,0.009095054259274732,0.00018393136567225482
1702318853.7467954,84732.298640728,658.21,0.0020058260385291166,0.00021120864341846014,0.009098568754183401,0.00020935486568887928
1702318859.1024954,84737.65434074402,658.22,0.0020304607100276105,0.00021305875506862621,0.009111355905392403,0.00020928047224214204
1702318864.4581954,84743.01004076004,658.23,0.0020316863155747994,0.00017239003583387037,0.009109027254852744,0.0001839023290339296
1702318869.8112283,84748.36307358742,658.24,0.00201028426063252,0.00022931100382839585,0.009168206689192012,0.00022901142121773337
1702318875.1669395,84753.71878480911,658.25,0.0019650542273259705,0.00019050650444264058,0.009143180796101071,0.0001923524121794265
1702318880.5216286,84759.07347393036,658.26,0.0019876924980102213,0.00024195725650754004,0.0091571143101751,0.00024070128761882094
1702318885.8753297,84764.42717504501,658.27,0.002043576164041611,0.00018528887811826994,0.009111006629658256,0.00018455209238890053
1702318891.2320297,84769.78387498856,658.28,0.0020001473994938086,0.0002460114541267205,0.009119077220339692,0.00026046036160164024
1702318896.5967238,84775.14856910706,658.29,0.002011341263491466,0.00025844089339120804,0.009113316874267904,0.00025998583273893533
1702318901.9504256,84780.50227093697,658.3,0.002012487401299298,0.0002767508141831973,0.009123123903325535,0.0002965553335177437
1702318907.3061252,84785.85797047615,658.31,0.0020250826674555965,0.0002806861134847051,0.009081638530495978,0.0002911337992681457
1702318912.6588256,84791.21067094803,658.32,0.0020337844277448195,0.0003428998963937314,0.009153111095734459,0.0003561610205507768
