#Procedure: <__main__.tek_dual_sr830_fsweep>
#Parameters:
#	Delay (s): 3
#	Drive Amplitude (Vpp): 1
#	stop frequency (Hz): 23000
#	start frequency (Hz): 22500
#	Frequency Step (Hz): 1
#	SR830_1 addr.: 0::12
#	SR830_2 addr.: 2::9
#	Tek AFG addr: 0::1
#Data:
UTC,timestamp,f,X_1,Y_1,X_2,Y_2
1717532207.2613358,722.8879086971283,22734.0,9.96594e-05,0.000646595,1.84742e-12,3.99327e-11
1717532210.3233354,725.9499082565308,22735.0,0.000111104,0.000662688,1.75149e-12,4.09843e-11
1717532213.3863645,729.0129373073578,22736.0,0.000125767,0.000681285,3.1193e-12,4.26328e-11
1717532216.4492502,732.0758230686188,22737.0,0.000143052,0.000701789,3.44615e-12,4.30733e-11
1717532219.5152776,735.1418504714966,22738.0,0.000164748,0.000724439,5.51384e-12,4.58054e-11
1717532222.5783415,738.2049143314362,22739.0,0.000191809,0.000751618,6.65426e-12,4.62494e-11
1717532225.6433458,741.269918680191,22740.0,0.000225903,0.000779036,8.18196e-12,4.89957e-11
1717532228.7053423,744.331915140152,22741.0,0.000269892,0.000808481,1.09886e-11,5.09532e-11
1717532231.7679274,747.3945002555847,22742.0,0.000330569,0.000839237,1.36922e-11,5.40903e-11
1717532234.8340619,750.4606347084045,22743.0,0.000409605,0.000865702,1.81261e-11,5.70781e-11
1717532237.897027,753.5235998630524,22744.0,0.000514153,0.000880245,2.42119e-11,5.77105e-11
1717532240.960068,756.5866408348083,22745.0,0.000651482,0.000867132,3.2774e-11,5.73481e-11
1717532244.0236447,759.6502175331116,22746.0,0.000813249,0.000798587,4.36453e-11,5.28291e-11
1717532247.0856066,762.7121794223785,22747.0,0.000965003,0.000648621,5.29605e-11,4.70985e-11
1717532250.1502967,765.7768695354462,22748.0,0.00104965,0.000413658,5.90039e-11,3.44011e-11
1717532253.2133195,768.8398923873901,22749.0,0.00101639,0.00016749,5.73197e-11,1.89325e-11
1717532256.27488,771.9014527797699,22750.0,0.000883941,-2.36036e-05,5.19338e-11,6.74308e-12
1717532259.338882,774.9654548168182,22751.0,0.000716571,-0.000127912,4.35956e-11,-1.49925e-12
1717532262.402561,778.0291337966919,22752.0,0.000564937,-0.000160576,3.47031e-11,-2.60415e-12
1717532265.4685273,781.0951001644135,22753.0,0.000439646,-0.000153423,2.83685e-11,-4.38763e-12
1717532268.5315647,784.1581375598907,22754.0,0.000347378,-0.000127555,2.07409e-11,-4.39118e-12
1717532271.5945613,787.221134185791,22755.0,0.000279071,-9.50103e-05,1.73409e-11,-2.16717e-12
1717532274.6576297,790.2842025756836,22756.0,0.000226499,-6.16317e-05,1.42571e-11,1.77637e-14
1717532277.7206666,793.3472394943237,22757.0,0.000185967,-2.92064e-05,1.13119e-11,1.83677e-12
1717532280.7847245,796.4112973213196,22758.0,0.000156404,1.1921e-07,1.09957e-11,3.34667e-12
1717532283.8533325,799.4799053668976,22759.0,0.000133038,2.71798e-05,7.40391e-12,4.11762e-12
1717532286.9158762,802.5424489974976,22760.0,0.000115395,5.07834e-05,5.60976e-12,6.41978e-12
1717532289.9818728,805.6084456443787,22761.0,0.000100732,7.11684e-05,6.86387e-12,6.24925e-12
1717532293.0505738,808.6771466732025,22762.0,8.78577e-05,9.00035e-05,6.28478e-12,8.72197e-12
1717532296.1137285,811.7403013706207,22763.0,7.84402e-05,0.000106812,4.2171e-12,7.78405e-12
1717532299.176825,814.8033978939056,22764.0,7.08108e-05,0.000121832,3.60602e-12,1.07541e-11
1717532302.2399404,817.8665132522583,22765.0,6.36582e-05,0.0001359,3.97196e-12,9.40409e-12
1717532305.3058143,820.9323871135712,22766.0,5.82936e-05,0.000149013,1.49925e-12,1.16636e-11
1717532308.366571,823.9931437969208,22767.0,5.3406e-05,0.000159622,3.01982e-12,9.42185e-12
1717532311.428628,827.0552008152008,22768.0,4.94721e-05,0.000169517,2.97008e-12,1.18057e-11
1717532314.4914725,830.1180453300476,22769.0,4.57766e-05,0.00017953,1.57386e-12,1.3035e-11
1717532317.5541203,833.1806931495667,22770.0,4.3154e-05,0.000187875,1.90782e-12,1.28857e-11
1717532320.6174288,836.2440016269684,22771.0,4.00546e-05,0.000195504,1.5028e-12,1.20331e-11
