#Procedure: <__main__.tek_dual_sr830_fsweep>
#Parameters:
#	Delay (s): 3
#	Drive Amplitude (Vpp): 1
#	stop frequency (Hz): 22800
#	start frequency (Hz): 22700
#	Frequency Step (Hz): 0.1
#	SR830_1 addr.: 0::12
#	SR830_2 addr.: 2::9
#	Tek AFG addr: 0::1
#Data:
UTC,timestamp,f,X_1,Y_1,X_2,Y_2
1717534048.4429557,1025.9601423740387,22733.3,9.02419e-05,0.000632528,8.95287e-13,3.96414e-11
1717534051.5035377,1029.0207242965698,22733.4,9.08379e-05,0.000634674,1.15109e-12,3.93785e-11
1717534054.5660472,1032.083233833313,22733.5,9.21492e-05,0.000635389,1.19372e-12,3.95739e-11
1717534057.6298914,1035.147078037262,22733.6,9.29837e-05,0.000637297,1.00187e-12,4.01956e-11
1717534060.6966991,1038.2138857841492,22733.7,9.45334e-05,0.000639323,1.97177e-12,3.97835e-11
1717534063.7579088,1041.275095462799,22733.8,9.57255e-05,0.000640158,2.17427e-12,4.03626e-11
1717534066.820127,1044.3373136520386,22733.9,9.59639e-05,0.000641707,1.40333e-12,4.01779e-11
1717534069.8811111,1047.3982977867126,22734.0,9.63216e-05,0.000643376,2.89192e-12,3.87568e-11
1717534072.943101,1050.4602875709534,22734.1,9.83481e-05,0.000644688,1.39267e-12,3.94211e-11
1717534076.0038643,1053.5210509300232,22734.2,9.8825e-05,0.00064576,2.55086e-12,4.01885e-11
1717534079.067189,1056.5843756198883,22734.3,0.000100732,0.000648145,2.06769e-12,4.08316e-11
1717534082.1325364,1059.6497230529785,22734.4,0.00010109,0.000649337,1.75505e-12,4.04656e-11
1717534085.19369,1062.7108767032623,22734.5,0.000102044,0.000651482,1.9398e-12,4.01033e-11
1717534088.2552545,1065.772441148758,22734.6,0.000104189,0.000652555,1.5028e-12,4.1638e-11
1717534091.3170078,1068.8341944217682,22734.7,0.000104785,0.000654224,9.02393e-13,4.10874e-11
1717534094.3822474,1071.8994340896606,22734.8,0.00010562,0.000655536,1.74794e-12,4.07889e-11
1717534097.4470158,1074.9642024040222,22734.9,0.00010705,0.000658277,2.83153e-12,4.10625e-11
1717534100.5095587,1078.0267453193665,22735.0,0.000108243,0.00065935,3.10153e-12,4.0288e-11
1717534103.5731893,1081.0903759002686,22735.1,0.000108958,0.000661496,1.91848e-12,4.08564e-11
1717534106.6382322,1084.1554188728333,22735.2,0.000111223,0.000663761,4.16736e-12,4.17624e-11
