#Procedure: <__main__.tek_dual_sr830_fsweep>
#Parameters:
#	Delay (s): 3
#	Drive Amplitude (Vpp): 1
#	stop frequency (Hz): 23100
#	start frequency (Hz): 22900
#	Frequency Step (Hz): 1
#	Buffer/sample size per measurement: 100
#	SR830_1 addr.: 0::12
#	SR830_2 addr.: 2::9
#	Tek AFG addr: 0::1
#Data:
UTC,timestamp,f,X_1,sigma_x1,Y_1,sigma_y2,X_2,sigma_x2,Y_2,sigma_y2
1717642668.678336,4111.323354005814,22937.0,2.7598166952327806e-05,3.2945037323482036e-07,0.0004791836349331603,6.719465862764419e-13,6.028012556234156e-13,5.985131649488307e-13,-4.127963277323015e-12,6.719465862764419e-13
1717642778.8151424,4221.460160493851,22938.0,2.8082302638462613e-05,3.773573433698984e-07,0.00048136467836341077,5.308481777222139e-13,7.678211807856593e-13,6.167294234126978e-13,-4.029139833563727e-12,5.308481777222139e-13
1717642889.0600715,4331.705089569092,22939.0,2.8504265679253473e-05,3.392497294443368e-07,0.00048357428926410097,6.795341085549003e-13,5.903899591430673e-13,7.051091128511156e-13,-3.7977798683641595e-12,6.795341085549003e-13
1717643000.3880768,4443.033094882965,22940.0,2.8996756582549125e-05,3.1748067310679795e-07,0.0004859042890144117,6.998037108097873e-13,7.013056801952189e-13,7.298809669286172e-13,-3.4732750009425217e-12,6.998037108097873e-13
1717643111.716072,4554.361090183258,22941.0,2.9587986493351484e-05,3.681028714801685e-07,0.0004883029244162819,5.846592432006719e-13,7.068479135341477e-13,6.968823196080575e-13,-3.233679990444216e-12,5.846592432006719e-13
1717643223.0390716,4665.6840896606445,22942.0,3.012984690040049e-05,3.539335425659305e-07,0.0004907894616175179,7.076234389051439e-13,7.248956990224542e-13,6.20033108163118e-13,-3.143370008729107e-12,7.076234389051439e-13
1717643334.3580756,4777.003093719482,22943.0,3.071144373729976e-05,3.5685874720426505e-07,0.0004935613786331331,6.784717463700944e-13,7.317879635593271e-13,6.655297652624364e-13,-2.871729520848021e-12,6.784717463700944e-13
1717643445.6710413,4888.316059350967,22944.0,3.13857589105163e-05,3.513679387098819e-07,0.0004963609907362196,7.079149222158047e-13,7.177192173912772e-13,7.207863292292611e-13,-2.496562956366688e-12,7.079149222158047e-13
1717643557.0000763,4999.645094394684,22945.0,3.199745910336273e-05,3.1744413487752447e-07,0.0004993050989478525,7.439424485431268e-13,8.78941364135244e-13,7.184437410489845e-13,-2.1933743710178532e-12,7.439424485431268e-13
1717643668.3150716,5110.960089683533,22946.0,3.278014635798907e-05,3.1470549929782903e-07,0.0005024707678592566,6.543639697720729e-13,7.495515319533296e-13,7.174838717561172e-13,-2.0311574644438225e-12,6.543639697720729e-13
1717643779.625044,5222.270062208176,22947.0,3.355681294142598e-05,3.506863960813001e-07,0.0005058230775775331,7.132138853184799e-13,1.013304995467479e-12,5.710791543230142e-13,-1.7980283928409336e-12,7.132138853184799e-13
1717643890.9340694,5333.579087495804,22948.0,3.448038390188506e-05,3.7586351530391703e-07,0.000509203082383281,6.491632099525637e-13,9.423217761650449e-13,6.689651595704758e-13,-1.2605738675119937e-12,6.491632099525637e-13
1717644002.237075,5444.882093191147,22949.0,3.5414792070485125e-05,3.2445106004065314e-07,0.0005130057383065272,5.708815139586186e-13,9.026024372360553e-13,6.75083998333902e-13,-9.908518450174596e-13,5.708815139586186e-13
1717644113.5560722,5556.201090335846,22950.0,3.646840952863597e-05,3.471082727130847e-07,0.0005169155621769452,8.142171030212798e-13,8.926548389354138e-13,6.799716937210553e-13,-5.595524044110789e-13,8.142171030212798e-13
1717644224.8670704,5667.512088537216,22951.0,3.7578621295967485e-05,3.388006665915181e-07,0.0005212022800638218,6.050057560829721e-13,1.1385026255084085e-12,6.534597390006713e-13,-2.2524204723595175e-13,6.050057560829721e-13
1717644336.1920705,5778.8370885849,22952.0,3.870930334534308e-05,3.1198465140962175e-07,0.000525758724019985,7.223385140076676e-13,1.2186518461021478e-12,7.231185392700151e-13,1.3727685654885136e-13,7.223385140076676e-13
1717644447.5000696,5890.145087718964,22953.0,4.012416107485993e-05,3.484840210100642e-07,0.0005304163152521306,6.649623939456745e-13,1.220428202941548e-12,6.362124585927401e-13,6.919975703567616e-13,6.649623939456745e-13
1717644558.8390384,6001.484056472778,22954.0,4.162571646950462e-05,3.6314979789798015e-07,0.0005355110072126293,7.5562297663754e-13,1.3416467936622211e-12,6.240841940243212e-13,1.0903988822974498e-12,7.5562297663754e-13
1717644670.1520772,6112.797095298767,22955.0,4.3246481153700086e-05,3.499413811795687e-07,0.0005409512856994012,6.203781910905894e-13,1.468336563448247e-12,7.065106002392997e-13,1.7578116739969118e-12,6.203781910905894e-13
1717644781.4590726,6224.104090690613,22956.0,4.50984396115698e-05,3.6562480790604243e-07,0.0005468286649145261,6.983072735728573e-13,1.5067769254528685e-12,6.929360665855164e-13,2.182645175707876e-12,6.983072735728573e-13
